Unnamed: 0	ld_carboxypeptidase-unclustered	ld_carboxypeptidase-mmseqs_cluster	ld_carboxypeptidase-foldseek_cluster
81	A0A2E0CX56	A0A3M1JPE5	A0A2C6E889
82	A0A520WHP5	A0A3M1JPE5	A0A2C6E889
83	A0A7C7JZN5	A0A3M1JPE5	A0A2C6E889
84	A0A946KJU3	A0A3M1JPE5	A0A2C6E889
85	A0A945ZNM3	A0A3M1JPE5	A0A2C6E889
86	A0A2E1WA89	A0A3M1JPE5	A0A2C6E889
87	A0A2E6SHL9	A0A3M1JPE5	A0A2C6E889
88	A0A944ZDM1	A0A3M1JPE5	A0A2C6E889
89	A0A1Z8KTB0	A0A3M1JPE5	A0A2C6E889
90	A0A4R2CY07	A0A4R2CY07	A0A6L8EW27
91	A0A509KYB1	A0A509KYB1	A0A7X7FE45
92	UPI001B20C7B4	UPI001B20C7B4	
93	UPI00078799AC	UPI00078799AC	
94	UPI0009406491	A0A3B9Q7R1	A0A844GDF8
95	A0A3B9Q7R1	A0A3B9Q7R1	A0A844GDF8
96	A0A6I7PTN1	A0A6I7PTN1	A0A6A0IMM5
98	A0A7W0X0J1	A0A7W0X0J1	A0A7W1YIF3
99	A0A928TRD9	A0A7W0X0J1	A0A7W1YIF3
100	A0A936KI13	A0A7W0X0J1	A0A7W1YIF3
101	A0A7X9FTG1	A0A7X9FTG1	A0A7W1YUM5
102	A0A7Z7DAS1	A0A7Z7DAS1	A0A543A0R1
103	A0A7Z9ZPG2	A0A7Z9ZPG2	A0A7X8FJ60
104	A0A948QZD9	A0A7Z9ZPG2	A0A7X8FJ60
105	A0A831WM33	A0A831WM33	A0A2E9X5T2
106	UPI0002F68980	A0A1C3EYD9	A0A7X7FE45
107	A0A1C3EYD9	A0A1C3EYD9	A0A7X7FE45
108	A0A0S2C967	A0A1C3EYD9	A0A7X7FE45
109	UPI0002EB4E20	A0A1C3EYD9	A0A7X7FE45
110	UPI0010FBF98E	A0A1C3EYD9	A0A7X7FE45
111	UPI0002DA8A6C	A0A1C3EYD9	A0A7X7FE45
112	UPI000315649B	A0A1C3EYD9	A0A7X7FE45
113	UPI0007DB6552	A0A1C3EYD9	A0A7X7FE45
114	UPI0022537F82	A0A1C3EYD9	A0A7X7FE45
115	UPI00024F99EF	A0A1C3EYD9	A0A7X7FE45
116	UPI00024FA1A9	A0A1C3EYD9	A0A7X7FE45
117	UPI000253061F	A0A1C3EYD9	A0A7X7FE45
118	A0A0F3PGV6	A0A1C3EYD9	A0A7X7FE45
119	UPI000CDF1139	A0A1C3EYD9	A0A7X7FE45
120	A0A0F3QJC5	A0A1C3EYD9	A0A7X7FE45
121	UPI00030F9B6D	A0A1C3EYD9	A0A7X7FE45
122	UPI000789E2FB	A0A1C3EYD9	A0A7X7FE45
123	UPI00058FD7B6	A0A1C3EYD9	A0A7X7FE45
124	UPI0019221CB1	A0A1C3EYD9	A0A7X7FE45
125	A0A0F3MUA2	A0A1C3EYD9	A0A7X7FE45
126	UPI00225607E3	A0A1C3EYD9	A0A7X7FE45
127	UPI0011304828	A0A1C3EYD9	A0A7X7FE45
128	UPI00209C72FE	A0A1C3EYD9	A0A7X7FE45
129	UPI0004076CA3	A0A0A7G0J4	A0A660MZL1
130	UPI0009A2BDD0	A0A0A7G0J4	A0A660MZL1
131	UPI0019574976	A0A0A7G0J4	A0A660MZL1
132	UPI001AE10831	A0A0A7G0J4	A0A660MZL1
133	UPI0006C6108F	A0A0A7G0J4	A0A660MZL1
134	UPI0006BB0631	A0A0A7G0J4	A0A660MZL1
135	UPI001C02220B	A0A0A7G0J4	A0A660MZL1
136	UPI001C8EAC75	A0A0A7G0J4	A0A660MZL1
137	UPI000699D09D	A0A0A7G0J4	A0A660MZL1
138	A0A0A7G0J4	A0A0A7G0J4	A0A660MZL1
139	A0A174QK40	A0A0A7G0J4	A0A660MZL1
141	A0A7D3VPI8	A0A7D3VPI8	C9N182
142	UPI001F32E5D7	A0A7D3VPI8	C9N182
143	UPI0020A33F74	A0A7D3VPI8	C9N182
144	A0A372JFC0	A0A7D3VPI8	C9N182
145	UPI0009FC1F80	A0A7D3VPI8	C9N182
146	A0A3M2LGD8	A0A7D3VPI8	C9N182
147	A0A5J6UIU5	A0A7D3VPI8	C9N182
148	UPI001E310B22	A0A7D3VPI8	C9N182
149	UPI0020C7B127	A0A7D3VPI8	C9N182
150	UPI001E2AA0DF	A0A7D3VPI8	C9N182
151	UPI002026A14F	A0A7D3VPI8	C9N182
152	UPI0020D20FCC	A0A7D3VPI8	C9N182
153	UPI000A00ABF5	A0A7D3VPI8	C9N182
154	UPI0020271EBE	A0A7D3VPI8	C9N182
155	UPI0009DCF718	A0A7D3VPI8	C9N182
156	UPI001688DA03	A0A7D3VPI8	C9N182
157	UPI001AAE2546	A0A7D3VPI8	C9N182
158	A0A7H8MER7	A0A7D3VPI8	C9N182
159	A0A4V2YZ73	A0A7D3VPI8	C9N182
160	UPI001FB6D580	A0A7D3VPI8	C9N182
161	A0A4R4V6V0	A0A7D3VPI8	C9N182
162	A0A6L3W517	A0A7D3VPI8	C9N182
163	A0A6I4M9E2	A0A7D3VPI8	C9N182
164	UPI001F118B97	A0A7D3VPI8	C9N182
165	UPI001F42EC86	A0A7D3VPI8	C9N182
166	UPI0020CC06BC	A0A7D3VPI8	C9N182
167	A0A850J151	A0A7D3VPI8	C9N182
168	A0A846Z0Z4	A0A7D3VPI8	C9N182
169	A0A4U3MRU9	A0A7D3VPI8	C9N182
170	UPI000AA19A87	A0A7D3VPI8	C9N182
171	UPI0019501981	A0A7D3VPI8	C9N182
172	UPI001E4EE539	A0A7D3VPI8	C9N182
173	UPI0012F7C1A1	A0A7D3VPI8	C9N182
174	UPI00083405D6	A0A7D3VPI8	C9N182
175	UPI0022B803DE	A0A7D3VPI8	C9N182
176	A0A545AQX0	A0A7D3VPI8	C9N182
177	A0A7J9Z1V1	A0A7D3VPI8	C9N182
178	UPI001BDD1285	A0A7D3VPI8	C9N182
179	A0A4U3LYH2	A0A7D3VPI8	C9N182
180	UPI000AA2AAE9	A0A7D3VPI8	C9N182
181	UPI00200F6CE4	A0A7D3VPI8	C9N182
182	UPI00055764E6	A0A7D3VPI8	C9N182
183	UPI0021CF005B	A0A7D3VPI8	C9N182
184	UPI000ADC207C	A0A7D3VPI8	C9N182
185	A0A367FJ38	A0A7D3VPI8	C9N182
186	UPI000AEE0807	A0A7D3VPI8	C9N182
187	UPI0007739E0C	A0A7D3VPI8	C9N182
188	UPI001FEB25EC	A0A7D3VPI8	C9N182
189	UPI0021AAE7F3	A0A7D3VPI8	C9N182
190	UPI001FE786CF	A0A7D3VPI8	C9N182
191	A0A7C9NAV9	A0A7D3VPI8	C9N182
192	UPI0021A7BA47	A0A7D3VPI8	C9N182
193	UPI0019BC03D2	A0A7D3VPI8	C9N182
194	UPI0021AB58CB	A0A7D3VPI8	C9N182
195	UPI0005263299	A0A7D3VPI8	C9N182
196	UPI00099BDCCE	A0A7D3VPI8	C9N182
197	UPI000B18035A	A0A7D3VPI8	C9N182
198	UPI000AE7D3DD	A0A7D3VPI8	C9N182
199	UPI001A4FE5A0	A0A7D3VPI8	C9N182
200	A0A652K4B1	A0A7D3VPI8	C9N182
201	UPI001FD7577D	A0A7D3VPI8	C9N182
202	UPI00202EFCF3	A0A7D3VPI8	C9N182
203	UPI0008349422	A0A7D3VPI8	C9N182
204	UPI00178A268B	A0A7D3VPI8	C9N182
205	UPI001FE0BA84	A0A7D3VPI8	C9N182
206	UPI001FE8BF8C	A0A7D3VPI8	C9N182
207	A0A3A4B610	A0A7D3VPI8	C9N182
208	UPI000A60B7F2	A0A7D3VPI8	C9N182
209	A0A8F5BJ53	A0A7D3VPI8	C9N182
210	UPI000562C6FB	A0A7D3VPI8	C9N182
211	A0A7K1L0F3	A0A7D3VPI8	C9N182
212	UPI002032E883	A0A7D3VPI8	C9N182
213	UPI001FA75283	A0A7D3VPI8	C9N182
214	UPI001FA7F8AF	A0A7D3VPI8	C9N182
215	A0A365H6P1	A0A7D3VPI8	C9N182
216	UPI00037952AB	A0A7D3VPI8	C9N182
217	A0A5D0UGN6	A0A7D3VPI8	C9N182
218	A0A5D3FB85	A0A7D3VPI8	C9N182
219	UPI001FE3217D	A0A7D3VPI8	C9N182
220	A0A5D0NAU1	A0A7D3VPI8	C9N182
221	A0A4R4STR4	A0A7D3VPI8	C9N182
222	UPI001F5EB009	A0A7D3VPI8	C9N182
223	UPI002164D2E3	A0A7D3VPI8	C9N182
224	UPI001F32ABA5	A0A7D3VPI8	C9N182
225	A0A372GG85	A0A7D3VPI8	C9N182
226	UPI001FB67C89	A0A7D3VPI8	C9N182
227	A0A4R4XVW0	A0A7D3VPI8	C9N182
228	A0A4V2YXL9	A0A7D3VPI8	C9N182
229	A0A5C4JAV1	A0A7D3VPI8	C9N182
230	A0A4R4LVS1	A0A7D3VPI8	C9N182
231	UPI001FB7ECB7	A0A7D3VPI8	C9N182
232	A0A429GAG4	A0A7D3VPI8	C9N182
233	UPI001F3E4015	A0A7D3VPI8	C9N182
234	UPI0003FF60BD	A0A7D3VPI8	C9N182
235	A0A4R4MHQ7	A0A7D3VPI8	C9N182
236	A0A4R5EV54	A0A7D3VPI8	C9N182
237	UPI001E3C1992	A0A7D3VPI8	C9N182
238	A0A6N7IC39	A0A7D3VPI8	C9N182
239	A0A939T4Y2	A0A7D3VPI8	C9N182
240	UPI00082B10D4	A0A7D3VPI8	C9N182
241	UPI0020922C26	A0A7D3VPI8	C9N182
242	UPI001650A449	A0A7D3VPI8	C9N182
243	UPI002092CAEC	A0A7D3VPI8	C9N182
244	UPI002093716E	A0A7D3VPI8	C9N182
245	UPI002093CB89	A0A7D3VPI8	C9N182
246	A0A6H9Z2D0	A0A7D3VPI8	C9N182
247	A0A7H8YZK4	A0A7H8YZK4	A0A1V4T031
248	A0A7V4SN01	A0A7V4SN01	A0A7X7FE45
249	A0A7W1A738	A0A7W1A738	A0A7V3KP85
250	A0A7X6P750	A0A7X6P750	A0A1F3P0H5
251	A0A7X7GUY2	A0A7X7GUY2	A0A7X7FE45
252	A0A4Q5X273	A0A7X7GUY2	A0A7X7FE45
253	A0A1W9QCH9	A0A7X7GUY2	A0A7X7FE45
254	A0A952RPD2	A0A7X7GUY2	A0A7X7FE45
255	A0A1M3NAX6	A0A7X7GUY2	A0A7X7FE45
256	UPI0011BA8589	A0A7X7GUY2	A0A7X7FE45
257	A0A956DID0	A0A7X7GUY2	A0A7X7FE45
258	A0A956IR64	A0A7X7GUY2	A0A7X7FE45
259	A0A956F778	A0A7X7GUY2	A0A7X7FE45
260	A0A952UT21	A0A7X7GUY2	A0A7X7FE45
261	A0A935ZEH6	A0A7X7GUY2	A0A7X7FE45
262	A0A935D1E5	A0A7X7GUY2	A0A7X7FE45
263	A9F1V4	A0A7X7GUY2	A0A7X7FE45
264	A0A2L0EWX0	A0A7X7GUY2	A0A7X7FE45
265	A0A661P3B9	A0A7X7GUY2	A0A7X7FE45
266	A0A7Y5NUJ3	A0A7X7GUY2	A0A7X7FE45
267	A0A849ZGI6	A0A7X7GUY2	A0A7X7FE45
268	A0A850BNJ5	A0A7X7GUY2	A0A7X7FE45
269	A0A150Q6D0	A0A7X7GUY2	A0A7X7FE45
270	A0A4P2QT12	A0A7X7GUY2	A0A7X7FE45
271	A0A150TG19	A0A7X7GUY2	A0A7X7FE45
272	A0A956CES4	A0A7X7GUY2	A0A7X7FE45
273	A0A933ZHM2	A0A7X7GUY2	A0A7X7FE45
274	A0A931V4T4	A0A7X7GUY2	A0A7X7FE45
275	A0A928STI7	A0A7X7GUY2	A0A7X7FE45
276	A0A7Y5H9J1	A0A7Y5H9J1	A0A3E3E572
277	A0A7Y9XA64	A0A7Y9XA64	A0A7Y9FGV8
278	A0A840WMN6	A0A7Y9XA64	A0A7Y9FGV8
279	A0A7W9YKB8	A0A7Y9XA64	A0A7Y9FGV8
280	A0A7W8QQN2	A0A7Y9XA64	A0A7Y9FGV8
281	A0A852TPF5	A0A7Y9XA64	A0A7Y9FGV8
282	A0A853BP23	A0A7Y9XA64	A0A7Y9FGV8
283	A0A841IJ48	A0A7Y9XA64	A0A7Y9FGV8
284	A0A7Z0EPY8	A0A7Y9XA64	A0A7Y9FGV8
285	A0A8J3EKZ4	A0A1M6SCZ1	A0A0G1MST7
286	A0A1M6SCZ1	A0A1M6SCZ1	A0A0G1MST7
287	A0A416ZJY0	A0A1M6SCZ1	A0A0G1MST7
288	UPI000A801ABE	A0A1M6SCZ1	A0A0G1MST7
289	A0A2T7YRH7	A0A1M6SCZ1	A0A0G1MST7
290	UPI00028C8201	A0A1M6SCZ1	A0A0G1MST7
291	A0A8J6Y530	A0A8J6Y530	
292	A0A8J9XLF8	A0A8J9XLF8	
293	UPI001F55B4F7	UPI001F55B4F7	
294	UPI000374138B	UPI000374138B	
295	UPI001C4D2950	UPI001C4D2950	
296	UPI000788FF27	UPI000788FF27	
297	UPI00200532F6	A0A3D3KCN0	A0A3D3KCN0
298	A0A3D3KCN0	A0A3D3KCN0	A0A3D3KCN0
299	UPI0011A5F5A6	A0A3D3KCN0	A0A3D3KCN0
300	A0A972KLB4	A0A3D3KCN0	A0A3D3KCN0
301	A0A6P1KAK6	A0A3D3KCN0	A0A3D3KCN0
302	UPI00191A8267	A0A3D3KCN0	A0A3D3KCN0
303	A0A2I1RIU4	A0A3D3KCN0	A0A3D3KCN0
304	UPI001C5AB8F1	A0A3D3KCN0	A0A3D3KCN0
305	UPI001C5AD554	A0A3D3KCN0	A0A3D3KCN0
306	UPI001EFBB7E9	A0A3D3KCN0	A0A3D3KCN0
307	UPI0019337108	A0A3D3KCN0	A0A3D3KCN0
308	A0A2D2E6P9	A0A3D3KCN0	A0A3D3KCN0
309	A0A2D2LTQ8	A0A3D3KCN0	A0A3D3KCN0
310	A0A2K8K086	A0A3D3KCN0	A0A3D3KCN0
311	UPI001CC78B0F	A0A3D3KCN0	A0A3D3KCN0
312	A0A4R9RNT6	A0A3D3KCN0	A0A3D3KCN0
313	UPI002003FD39	A0A3D3KCN0	A0A3D3KCN0
314	UPI00194FD4BB	A0A3D3KCN0	A0A3D3KCN0
315	UPI001C5BC8E1	A0A3D3KCN0	A0A3D3KCN0
316	UPI002079D6BC	A0A2B9B0V3	A0A2C6E889
317	UPI0018CD885B	A0A2B9B0V3	A0A2C6E889
318	A0A2B9B0V3	A0A2B9B0V3	A0A2C6E889
319	UPI000BF6E271	A0A2B9B0V3	A0A2C6E889
320	UPI0003685C20	A0A2B9B0V3	A0A2C6E889
321	UPI0010BE4AA3	UPI0010BE4AA3	
322	UPI0011094F26	S6HSQ2	A0A7D5MQW5
323	S6HSQ2	S6HSQ2	A0A7D5MQW5
324	UPI000A728C07	S6HSQ2	A0A7D5MQW5
325	A0A954Y3U1	A0A954Y3U1	
326	A0A956Z5M0	A0A956Z5M0	
327	A0A958KZV2	A0A958KZV2	
328	A0A959Z9W0	A0A959Z9W0	
329	K0ABD0	K0ABD0	K0ABD0
330	UPI001BEC1B5F	K0ABD0	K0ABD0
331	UPI0006865CD6	K0ABD0	K0ABD0
332	UPI0006820677	K0ABD0	K0ABD0
333	UPI0006865DA7	K0ABD0	K0ABD0
334	UPI0006866127	K0ABD0	K0ABD0
335	UPI001BE745AB	K0ABD0	K0ABD0
336	UPI001BEA5F1A	K0ABD0	K0ABD0
337	UPI001BEC499A	K0ABD0	K0ABD0
338	UPI001BEC5FA2	K0ABD0	K0ABD0
339	UPI00040C066C	K0ABD0	K0ABD0
340	UPI000A027765	K0ABD0	K0ABD0
341	UPI001BEAD85E	K0ABD0	K0ABD0
342	UPI0006AA15CD	K0ABD0	K0ABD0
343	UPI0009DCB329	K0ABD0	K0ABD0
344	UPI0009F9CC1E	K0ABD0	K0ABD0
345	UPI001BEAFC5F	K0ABD0	K0ABD0
346	UPI001BEC945D	K0ABD0	K0ABD0
347	UPI0011EFB44B	K0ABD0	K0ABD0
348	UPI0018A7ACEF	K0ABD0	K0ABD0
349	UPI001BE50CF3	K0ABD0	K0ABD0
350	UPI001BE98981	K0ABD0	K0ABD0
351	UPI001BECC3DC	K0ABD0	K0ABD0
352	UPI000736E711	K0ABD0	K0ABD0
353	UPI001BE7BCB3	K0ABD0	K0ABD0
354	UPI002036F8CD	K0ABD0	K0ABD0
355	UPI001BE9D480	K0ABD0	K0ABD0
356	UPI001BEB89EF	K0ABD0	K0ABD0
357	UPI00068BD253	K0ABD0	K0ABD0
358	UPI0006F209ED	K0ABD0	K0ABD0
359	UPI00210B54CF	K0ABD0	K0ABD0
360	UPI001BE9D837	K0ABD0	K0ABD0
361	UPI001BECF9FA	K0ABD0	K0ABD0
362	B1YE85	K0ABD0	K0ABD0
363	UPI001575A55E	K0ABD0	K0ABD0
364	UPI001BE8327E	K0ABD0	K0ABD0
365	UPI001BE9FDF2	K0ABD0	K0ABD0
366	UPI001BED19C5	K0ABD0	K0ABD0
367	UPI0006F65752	K0ABD0	K0ABD0
368	UPI001BE6D030	K0ABD0	K0ABD0
369	UPI001CA6A199	K0ABD0	K0ABD0
370	UPI0003C3F878	K0ABD0	K0ABD0
371	UPI001FFECD1D	K0ABD0	K0ABD0
372	UPI0009F4BC80	K0ABD0	K0ABD0
373	UPI001BE56048	K0ABD0	K0ABD0
374	UPI000DF73DB9	K0ABD0	K0ABD0
375	Q10VX0	Q10VX0	A0A7V4IX61
376	UPI0019062B40	A0A0Q8R3J9	A0A844GDF8
377	UPI00168637A1	A0A0Q8R3J9	A0A844GDF8
378	UPI00164A88DC	A0A0Q8R3J9	A0A844GDF8
379	UPI00164ACBF9	A0A0Q8R3J9	A0A844GDF8
380	A0A0Q8R3J9	A0A0Q8R3J9	A0A844GDF8
381	UPI001B841241	A0A0Q8R3J9	A0A844GDF8
382	UPI00164C3BDB	A0A0Q8R3J9	A0A844GDF8
383	UPI00164AF22A	A0A0Q8R3J9	A0A844GDF8
384	UPI0016768B6F	A0A0Q8R3J9	A0A844GDF8
385	A0A941I9P1	A0A0Q8R3J9	A0A844GDF8
386	UPI001E61C085	A0A0Q8R3J9	A0A844GDF8
387	A0A931LXM3	A0A0Q8R3J9	A0A844GDF8
388	UPI00164AC069	A0A0Q8R3J9	A0A844GDF8
389	UPI001F4CC96A	A0A0Q8R3J9	A0A844GDF8
390	UPI0021D27112	A0A0Q8R3J9	A0A844GDF8
391	A0A0Q6W4P1	A0A0Q8R3J9	A0A844GDF8
392	A0A0Q7VSZ5	A0A0Q8R3J9	A0A844GDF8
393	UPI001EDC3E48	A0A0Q8R3J9	A0A844GDF8
394	UPI0022AAF754	A0A0Q8R3J9	A0A844GDF8
395	UPI001E2E5AAD	A0A0Q8R3J9	A0A844GDF8
396	A0A0Q7FYF2	A0A0Q8R3J9	A0A844GDF8
397	UPI00136EC554	A0A0Q8R3J9	A0A844GDF8
398	UPI0014522707	A0A0Q8R3J9	A0A844GDF8
399	UPI001AE779E3	A0A0Q8R3J9	A0A844GDF8
400	A0A127QL62	A0A0Q8R3J9	A0A844GDF8
401	A0A923KMV3	A0A0Q8R3J9	A0A844GDF8
402	A0A127P9T6	A0A0Q8R3J9	A0A844GDF8
403	A0A127Q7B4	A0A0Q8R3J9	A0A844GDF8
404	A0A127R086	A0A0Q8R3J9	A0A844GDF8
405	UPI00216158C9	A0A0Q8R3J9	A0A844GDF8
406	UPI000B07B700	A0A0Q8R3J9	A0A844GDF8
407	A0A1S2NHI0	A0A0Q8R3J9	A0A844GDF8
408	A0A0Q6S5B7	A0A0Q8R3J9	A0A844GDF8
409	A0A0Q5IAD9	A0A0Q8R3J9	A0A844GDF8
410	A0A254TLG5	A0A0Q8R3J9	A0A844GDF8
411	A0A0Q8R056	A0A0Q8R3J9	A0A844GDF8
412	UPI00192ECDF7	A0A0Q8R3J9	A0A844GDF8
413	A0A850QJX4	A0A0Q8R3J9	A0A844GDF8
414	A0A923KZ42	A0A0Q8R3J9	A0A844GDF8
415	UPI001E5A73AC	A0A0Q8R3J9	A0A844GDF8
416	UPI001E4E2FAE	A0A0Q8R3J9	A0A844GDF8
417	A0A923HAD5	A0A0Q8R3J9	A0A844GDF8
418	A4G4W9	A0A0Q8R3J9	A0A844GDF8
419	A0A0Q4NNN3	A0A0Q8R3J9	A0A844GDF8
420	A0A0Q5CJX4	A0A0Q8R3J9	A0A844GDF8
421	A0A941E079	A0A0Q8R3J9	A0A844GDF8
422	UPI00164A462C	A0A0Q8R3J9	A0A844GDF8
423	UPI00164A28C1	A0A0Q8R3J9	A0A844GDF8
424	UPI00164B4AA1	A0A0Q8R3J9	A0A844GDF8
425	A0A932S176	A0A0Q8R3J9	A0A844GDF8
426	A0A941DC22	A0A0Q8R3J9	A0A844GDF8
427	UPI00167C1235	A0A0Q8R3J9	A0A844GDF8
428	UPI00196873F4	A0A2H0YRD7	A0A1C4VV88
429	A0A2H0YRD7	A0A2H0YRD7	A0A1C4VV88
430	UPI001980C333	UPI001980C333	
431	UPI0011AFB7C5	UPI0011AFB7C5	
432	UPI00187F0C0C	UPI00187F0C0C	
433	A0A978T813	A0A978T813	
434	A0A978TD04	A0A978TD04	
435	UPI0021E9AC06	UPI0021E9AC06	
436	UPI0018807612	UPI0018807612	
439	A0A381H204	A0A381H204	A0A2E2TAT5
440	A0A3S4J5U9	A0A381H204	A0A2E2TAT5
441	UPI00188C0FD8	A0A381H204	A0A2E2TAT5
442	A0A379URS2	A0A381H204	A0A2E2TAT5
443	A0A3D2KZR7	A0A3D2KZR7	A0A401YQJ4
444	A0A3N2LWY9	A0A3N2LWY9	A0A3E3E572
445	A0A4V5PBZ7	A0A3N2LWY9	A0A3E3E572
446	A0A359I9F9	A0A3N2LWY9	A0A3E3E572
447	A0A3N2KBW0	A0A3N2LWY9	A0A3E3E572
448	A0A3N2NPX1	A0A3N2LWY9	A0A3E3E572
449	UPI00195A8B74	A0A3N2LWY9	A0A3E3E572
450	A0A352HR37	A0A3N2LWY9	A0A3E3E572
451	A0A4P6UMJ3	A0A4P6UMJ3	A0A0F3RGB6
452	A0A4Q6AZ47	A0A4Q6AZ47	A0A3E3E572
453	A0A4Q6B6L2	A0A4Q6AZ47	A0A3E3E572
454	A0A542EWQ2	A0A542EWQ2	A0A852UB62
455	A0A7Y4L268	A0A542EWQ2	A0A852UB62
457	A0A3R6SGH9	A0A3R6SGH9	A0A660MZL1
458	R7K3X8	A0A3R6SGH9	A0A660MZL1
459	A0A373NFM6	A0A3R6SGH9	A0A660MZL1
460	UPI00156FF860	A0A3R6SGH9	A0A660MZL1
461	UPI002108FA06	A0A3R6SGH9	A0A660MZL1
