Unnamed: 0	glucosaminidase-unclustered	glucosaminidase-mmseqs_cluster	glucosaminidase-foldseek_cluster
88	UPI001A9F1862	J1SCA5	T1WGN1
89	UPI00191DB148	J1SCA5	T1WGN1
90	UPI0021D9E0C6	J1SCA5	T1WGN1
91	UPI001FE48472	J1SCA5	T1WGN1
92	UPI001F24467F	J1SCA5	T1WGN1
93	V7I362	V7I362	A0A1V4SU15
94	A0A076IRD5	A0A076IRD5	R6JF01
95	A0A4S2FF65	A0A076IRD5	R6JF01
96	A0A415BSC7	A0A076IRD5	R6JF01
97	A0A412YZU9	A0A076IRD5	R6JF01
98	A0A4Q5HME9	A0A076IRD5	R6JF01
99	A0A413GT04	A0A076IRD5	R6JF01
100	A0A0B8T5M5	A0A0B8T5M5	A0A318MMB0
101	A0A0F0LNK3	A0A0F0LNK3	A0A0F0LNK3
102	A0A942D9I4	A0A0F0LNK3	A0A0F0LNK3
103	UPI001CBCC6D5	A0A0F0LNK3	A0A0F0LNK3
104	UPI0015E2CA45	A0A0F0LNK3	A0A0F0LNK3
105	UPI0015E340A2	A0A0F0LNK3	A0A0F0LNK3
106	UPI0015F29562	A0A0F0LNK3	A0A0F0LNK3
107	A0A135YVG0	A0A135YVG0	A0A377FWM0
108	E8JRT6	A0A135YVG0	A0A377FWM0
109	A0A143WW55	A0A143WW55	A0A6G7ZBN2
110	A0A1B8VTK8	A0A1B8VTK8	
111	A0A1C6D969	A0A1C6D969	A0A1C6D969
112	A0A1D4PPZ9	A0A1D4PPZ9	A0A1D4PPZ9
113	A0A659ZYG1	A0A1D4PPZ9	A0A1D4PPZ9
114	A0A8G2M9E4	A0A1D4PPZ9	A0A1D4PPZ9
115	A0A830Z3T1	A0A1D4PPZ9	A0A1D4PPZ9
116	A0A0U1MI09	A0A1D4PPZ9	A0A1D4PPZ9
117	UPI0021ABE271	UPI0021ABE271	
118	A0A921MRD8	A0A921MRD8	
119	UPI00227E0CD3	UPI00227E0CD3	
121	A0A0C1QVE0	A0A0C1QVE0	S6EJE2
123	A0A0Q0SCA9	A0A0Q0SCA9	T1WGN1
124	A5FIA4	A0A0Q0SCA9	T1WGN1
126	A0A0T9A9H7	A0A0T9A9H7	
127	A0A174L247	A0A174L247	A0A318MMB0
128	R6E5V5	A0A174L247	A0A318MMB0
129	A0A1E5XWM9	A0A1E5XWM9	A1IHD1
130	UPI0006D837A3	A0A1E5XWM9	A1IHD1
131	A0A4Q3GDC6	A0A1E5XWM9	A1IHD1
132	A0A0Q7E2D6	A0A1E5XWM9	A1IHD1
133	A0A8I1QJ77	A0A1E5XWM9	A1IHD1
134	A0A3N2R5W8	A0A1E5XWM9	A1IHD1
135	UPI00040E2082	A0A1E5XWM9	A1IHD1
136	UPI001E5AF09A	A0A1E5XWM9	A1IHD1
137	UPI0019048883	A0A1E5XWM9	A1IHD1
138	A0A6G6WN69	A0A1E5XWM9	A1IHD1
139	A0A1G4P7Q2	A0A1G4P7Q2	A0A377FWM0
140	A0A1H2LC96	A0A1H2LC96	U6RX90
141	A0A1H7DAU2	A0A1H7DAU2	A0A1H0T8H2
142	A0A1I0A2R1	A0A1I0A2R1	A0A4R2LZN7
143	A0A1I6IRS3	A0A1I6IRS3	A0A822LKY6
144	A0A1H9YX37	A0A1I6IRS3	A0A822LKY6
145	A0A1M6M7F5	A0A1M6M7F5	A0A174IZW4
146	A0A1Q2HQL9	A0A1Q2HQL9	A0A377FWM0
147	A0A1W6LL31	A0A1Q2HQL9	A0A377FWM0
148	A0A1S8R750	A0A1S8R750	A0A3R9QFF2
149	A0A1S8PYZ5	A0A1S8R750	A0A3R9QFF2
150	A0A1V4RG56	A0A1V4RG56	A0A3G8YHB3
151	A0A2G6LTJ6	A0A1V4RG56	A0A3G8YHB3
153	A0A257LDB7	A0A257LDB7	A0A7C1VDL4
154	A0A288QX83	A0A288QX83	A0A0B4WBQ7
155	UPI001958AD79	UPI001958AD79	
156	UPI001B0D9F61	A0A5P2X225	A0A2Z4IUI6
157	A0A5P2X225	A0A5P2X225	A0A2Z4IUI6
158	UPI001FABBA2B	UPI001FABBA2B	
159	UPI001EDE0C6A	UPI001EDE0C6A	
160	UPI002114BAEE	UPI002114BAEE	
161	UPI00131C3E04	UPI00131C3E04	
162	UPI001EDC9F82	UPI001EDC9F82	
163	UPI001F1D0F40	UPI001F1D0F40	
164	A0A3E0AYB9	A0A3E0AYB9	A0A2T6K1D7
165	A0A1G8X8S9	A0A3E0AYB9	A0A2T6K1D7
166	A0A840QVC3	A0A3E0AYB9	A0A2T6K1D7
167	A0A1G9BS17	A0A3E0AYB9	A0A2T6K1D7
168	A0A285UNE6	A0A3E0AYB9	A0A2T6K1D7
169	A0A1M7E7I9	A0A3E0AYB9	A0A2T6K1D7
170	A0A3P1CEI8	A0A3P1CEI8	R6JF01
171	A0A368JVF0	A0A3P1CEI8	R6JF01
172	A0A3P1BMF0	A0A3P1CEI8	R6JF01
173	A0A964YHK3	A0A3P1CEI8	R6JF01
174	A0A2K8YUM9	A0A3P1CEI8	R6JF01
175	A0A0E3ZTG8	A0A3P1CEI8	R6JF01
176	A0A4R5DB45	A0A3P1CEI8	R6JF01
177	A0A329N580	A0A3P1CEI8	R6JF01
178	A0A3N0EZN9	A0A3P1CEI8	R6JF01
179	A0A3D2HC57	A0A3P1CEI8	R6JF01
180	A0A7V4I956	A0A3P1CEI8	R6JF01
181	A0A4Q1C0N4	A0A3P1CEI8	R6JF01
182	A0A965LD47	A0A3P1CEI8	R6JF01
183	A0A2G4GJ82	A0A3P1CEI8	R6JF01
184	A0A414EMU4	A0A414EMU4	A0A1H0T8H2
185	A0A414KCE0	A0A414EMU4	A0A1H0T8H2
186	A0A173YNC1	A0A414EMU4	A0A1H0T8H2
187	A0A395XB62	A0A414EMU4	A0A1H0T8H2
188	A0A373VN90	A0A414EMU4	A0A1H0T8H2
189	A0A174M723	A0A414EMU4	A0A1H0T8H2
190	A0A6N9LJ79	A0A414EMU4	A0A1H0T8H2
191	A0A564UK10	A0A414EMU4	A0A1H0T8H2
192	A0A1C5YKJ7	A0A414EMU4	A0A1H0T8H2
193	A0A417R0T5	A0A414EMU4	A0A1H0T8H2
194	A0A174JQN8	A0A414EMU4	A0A1H0T8H2
195	A0A413L1Y6	A0A414EMU4	A0A1H0T8H2
196	A0A415LSR8	A0A414EMU4	A0A1H0T8H2
197	A0A844GI83	A0A414EMU4	A0A1H0T8H2
198	A0A416B1L5	A0A414EMU4	A0A1H0T8H2
199	A0A416J2X9	A0A414EMU4	A0A1H0T8H2
200	A0A416N3Q2	A0A414EMU4	A0A1H0T8H2
201	A0A416Y4G8	A0A414EMU4	A0A1H0T8H2
202	A0A417BIA0	A0A414EMU4	A0A1H0T8H2
203	A0A417D3B2	A0A414EMU4	A0A1H0T8H2
204	A0A417DH82	A0A414EMU4	A0A1H0T8H2
205	A0A417DME5	A0A414EMU4	A0A1H0T8H2
206	A0A417HCX1	A0A414EMU4	A0A1H0T8H2
207	A0A417LGC0	A0A414EMU4	A0A1H0T8H2
208	A0A174RS89	A0A414EMU4	A0A1H0T8H2
209	A0A413B1B7	A0A414EMU4	A0A1H0T8H2
210	A0A417Q525	A0A414EMU4	A0A1H0T8H2
211	A0A174EE09	A0A414EMU4	A0A1H0T8H2
212	A0A564WUG1	A0A414EMU4	A0A1H0T8H2
213	A0A173WE05	A0A414EMU4	A0A1H0T8H2
214	R5XDW6	A0A414EMU4	A0A1H0T8H2
215	A0A6N2RUA8	A0A414EMU4	A0A1H0T8H2
217	A0A4R2N9M3	A0A4R2N9M3	A0A379AHB8
218	A0A4U9D433	A0A4U9D433	A0A4U9D433
219	A0A485AZ43	A0A4U9D433	A0A4U9D433
220	A0A520NEC4	A0A520NEC4	A0A3G8YHB3
221	A0A6G9AJH4	A0A6G9AJH4	A0A6G9AJH4
225	A0A828BZS7	A0A828BZS7	A0A3R9QI81
226	A0A930ND38	A0A1F0NWT5	A0A318MMB0
227	A0A930IKZ7	A0A1F0NWT5	A0A318MMB0
228	A0A1F0NWT5	A0A1F0NWT5	A0A318MMB0
229	R6VZ04	A0A1F0NWT5	A0A318MMB0
230	A0A1Y4ALE9	A0A1F0NWT5	A0A318MMB0
231	A0A940DP80	R5UE24	A0A318MMB0
232	R5UE24	R5UE24	A0A318MMB0
233	I3YKD9	R5UE24	A0A318MMB0
234	A0A5B5VLJ7	R5UE24	A0A318MMB0
235	A0A7J4YI66	R5UE24	A0A318MMB0
236	R6SWV4	R5UE24	A0A318MMB0
237	R5SEZ0	R5UE24	A0A318MMB0
238	R6ECD5	R5UE24	A0A318MMB0
239	W4UQC4	R5UE24	A0A318MMB0
240	A0A948X5Y5	A0A948X5Y5	
241	UPI00094B0F9C	UPI00094B0F9C	
242	A1IHD1	A1IHD1	A1IHD1
243	A0A826HY73	A1IHD1	A1IHD1
244	A6ERN7	A6ERN7	A6ERN7
245	C3DVN1	C3DVN1	H0U4F0
246	D4M4S6	D4M4S6	A0A1H0T8H2
247	E1MAR4	E1MAR4	A0A174D5Y6
248	E6I8M8	E6I8M8	A0A1H2Z0U0
250	G5KFE3	G5KFE3	A0A377FWM0
251	H1GG26	H1GG26	A0A2H6K2M6
252	A0A0A2F9L4	A0A0A2F9L4	U6RX90
254	A0A174ULY3	A0A174ULY3	A0A1H2Z0U0
258	A0A1S8LKL4	A0A1S8LKL4	A0A1M6GBW1
259	A0A1S8L3W5	A0A1S8LKL4	A0A1M6GBW1
260	A0A1S8TEN4	A0A1S8TEN4	A0A3R9QFF2
261	A0A1V4IFJ8	A0A1V4IFJ8	A0A3R9QFF2
262	A0A1Z9NIR0	A0A1Z9NIR0	A0A7C1VDL4
263	A0A2E9R175	A0A2E9R175	A0A2E9R175
264	A0A3B8LM56	A0A2E9R175	A0A2E9R175
265	A0A2U1T4Z6	A0A2U1T4Z6	A0A2U1T4Z6
266	A0A7G7CNC7	A0A2U1T4Z6	A0A2U1T4Z6
267	A0A4P7QE55	A0A2U1T4Z6	A0A2U1T4Z6
268	A0A097IEB5	A0A2U1T4Z6	A0A2U1T4Z6
269	A0A847HDK5	A0A2U1T4Z6	A0A2U1T4Z6
270	A0A7X8MUM6	A0A2U1T4Z6	A0A2U1T4Z6
271	A0A6B8VRI6	A0A2U1T4Z6	A0A2U1T4Z6
272	A0A3R9ZYS2	A0A2U1T4Z6	A0A2U1T4Z6
273	A0A1X7JF46	A0A2U1T4Z6	A0A2U1T4Z6
274	A0A0B6TJT4	A0A2U1T4Z6	A0A2U1T4Z6
275	S5SSS9	A0A2U1T4Z6	A0A2U1T4Z6
276	A0A7X6PPK7	A0A2U1T4Z6	A0A2U1T4Z6
277	A0A371PLL5	A0A371PLL5	A0A371PLL5
278	A0A376H0U5	A0A376H0U5	R5UHX4
279	A0A379AHB8	A0A379AHB8	A0A379AHB8
280	A0A1G9HIN9	A0A1G9HIN9	A0A7V8YNA9
281	UPI000B899644	A0A1G9HIN9	A0A7V8YNA9
282	A0A1H0YGP0	A0A1H0YGP0	A0A4R2LZN7
283	A0A1H9SDJ7	A0A1H9SDJ7	A0A1I3K6S5
284	A0A1I2Q4L5	A0A1I2Q4L5	A0A379AHB8
287	A0A1V4IP37	A0A1V4IP37	A0A173TGS3
288	A0A1Y6ELU6	A0A1Y6ELU6	
289	A0A2S6GF21	A0A2S6GF21	A0A7V8YNA9
293	A0A381AFI0	A0A381AFI0	A0A0G1FTE9
294	J9UJB0	A0A381AFI0	A0A0G1FTE9
295	K0JGU5	A0A381AFI0	A0A0G1FTE9
296	A0A3B6VSD9	A0A381AFI0	A0A0G1FTE9
297	D8IBV4	A0A381AFI0	A0A0G1FTE9
298	A0A4Q7PKC6	A0A4Q7PKC6	A0A6G7ZBN2
299	UPI002105DEFC	UPI002105DEFC	
300	W7Y0R1	W7Y0R1	A0A2Z4IUI6
301	A0A0C1QYM8	A0A0C1QYM8	S6EJE2
302	B1IM53	A0A0C1QYM8	S6EJE2
303	A0A0S6U6I0	A0A0C1QYM8	S6EJE2
304	A0A1L3NJQ7	A0A0C1QYM8	S6EJE2
305	J7T0K8	A0A0C1QYM8	S6EJE2
306	A7GE28	A0A0C1QYM8	S6EJE2
307	A0A1J1CZV3	A0A0C1QYM8	S6EJE2
308	M1ZNN7	A0A0C1QYM8	S6EJE2
309	A0A0E3M7H0	A0A0C1QYM8	S6EJE2
310	A0A0G1FTE9	A0A0G1FTE9	A0A0G1FTE9
311	A0A0J8J8Z6	A0A0J8J8Z6	A0A2W7N2C6
312	A0A0Q0V6X2	A0A0Q0V6X2	A0A7C7JTV7
313	A0A0R1WC41	A0A0R1WC41	A0A0R1WC41
314	E3C5P9	A0A0R1WC41	A0A0R1WC41
315	C8PA17	A0A0R1WC41	A0A0R1WC41
316	C8PA18	A0A0R1WC41	A0A0R1WC41
317	A0A0R1XBY8	A0A0R1WC41	A0A0R1WC41
318	A0A0T9L3Y6	A0A0T9L3Y6	A0A0T9L3Y6
319	A0A083ZXW1	A0A0T9L3Y6	A0A0T9L3Y6
320	A0A173QSZ7	A0A173QSZ7	U2T162
321	A0A1C5V1M8	A0A1C5V1M8	A0A1I3K6S5
323	A0A1E7D8L7	A0A1E7D8L7	T2RE69
324	A0A1F0G6R2	A0A1F0G6R2	A0A7C1VDL4
325	A0A1G4PUM6	A0A1G4PUM6	A0A1H3E8E8
326	A0A1H7I721	A0A1H7I721	T1WGN1
327	A0A7W5YL23	A0A1H7I721	T1WGN1
328	D2B8I8	A0A1H7I721	T1WGN1
329	A0A285QVU7	A0A1H7I721	T1WGN1
330	A0A495TJE3	A0A1H7I721	T1WGN1
331	A0A841FCP2	A0A1H7I721	T1WGN1
332	A0A8J3M4D7	A0A1H7I721	T1WGN1
333	A0A1G8V757	A0A1H7I721	T1WGN1
334	A0A2T0RJN0	A0A1H7I721	T1WGN1
335	A0A919SD62	A0A1H7I721	T1WGN1
336	A0A561EXU2	A0A1H7I721	T1WGN1
337	A0A7W7SJU3	A0A1H7I721	T1WGN1
338	A0A2A3HZ33	A0A1H7I721	T1WGN1
339	A0A1H2BEY6	A0A1H7I721	T1WGN1
340	A0A7W8AEB8	A0A1H7I721	T1WGN1
341	A0A8J7KIU7	A0A1H7I721	T1WGN1
342	A0A542XH31	A0A1H7I721	T1WGN1
343	A0A7W0HV31	A0A1H7I721	T1WGN1
345	A0A1M6MQ91	A0A1M6MQ91	A0A2E9R175
347	A0A1V4SU15	A0A1V4SU15	A0A1V4SU15
348	A0A1Y3WIU4	A0A1Y3WIU4	A0A1Y3WIU4
349	A0A2E0CX49	A0A2E0PI54	A0A7C1VDL4
350	A0A2E0PI54	A0A2E0PI54	A0A7C1VDL4
351	A0A520WHQ3	A0A2E0PI54	A0A7C1VDL4
353	A0A377KMG8	A0A377KMG8	A0A377KMG8
354	A0A6B9XUJ5	A0A377KMG8	A0A377KMG8
355	A0A377L1H5	A0A377KMG8	A0A377KMG8
357	A0A482G4C5	A0A482G4C5	A0A5P3IEM7
358	A0A4Q3LL72	A0A4Q3LL72	A0A3M2JPR2
360	A0A5Q4F789	A0A5Q4F789	A0A2G4HE76
361	A0A371QQR6	A0A5Q4F789	A0A2G4HE76
362	A0A6I7NUQ8	A0A5Q4F789	A0A2G4HE76
363	A0A651G176	A0A5Q4F789	A0A2G4HE76
364	A0A2N0VKX5	A0A5Q4F789	A0A2G4HE76
365	A0A2D7AG87	A0A5Q4F789	A0A2G4HE76
366	A0A2E9UGJ8	A0A5Q4F789	A0A2G4HE76
367	A0A2A5Y0R8	A0A5Q4F789	A0A2G4HE76
368	A0A2E6N3T3	A0A5Q4F789	A0A2G4HE76
369	A0A6A8Q9T4	A0A5Q4F789	A0A2G4HE76
370	A0A3M8FPT6	A0A5Q4F789	A0A2G4HE76
371	A0A2D9FXQ0	A0A5Q4F789	A0A2G4HE76
372	A0A2D8CFD6	A0A5Q4F789	A0A2G4HE76
373	A0A2A2GFW7	A0A5Q4F789	A0A2G4HE76
374	A0A2T4XEZ5	A0A5Q4F789	A0A2G4HE76
375	A0A651HS17	A0A651HS17	A0A7C1VDL4
376	A0A964PYE3	A0A651HS17	A0A7C1VDL4
377	A0A964V5R4	A0A651HS17	A0A7C1VDL4
378	A0A6C1NMQ8	A0A651HS17	A0A7C1VDL4
379	A0A651DM73	A0A651HS17	A0A7C1VDL4
380	A0A651HBB1	A0A651HS17	A0A7C1VDL4
381	A0A7C7I499	A0A651HS17	A0A7C1VDL4
382	A0A7C7NQU8	A0A651HS17	A0A7C1VDL4
383	A0A2E7U4K4	A0A651HS17	A0A7C1VDL4
384	A0A7C7T803	A0A651HS17	A0A7C1VDL4
385	A0A2D8WD57	A0A651HS17	A0A7C1VDL4
386	A0A2E9LUS1	A0A651HS17	A0A7C1VDL4
387	A0A7Z9JPE8	A0A651HS17	A0A7C1VDL4
388	A0A800K619	A0A651HS17	A0A7C1VDL4
389	A0A358EF39	A0A651HS17	A0A7C1VDL4
390	A0A2E0DQP9	A0A651HS17	A0A7C1VDL4
391	A0A2E8QVV1	A0A651HS17	A0A7C1VDL4
392	A0A351FJ86	A0A651HS17	A0A7C1VDL4
393	A0A8I0BYF3	A0A651HS17	A0A7C1VDL4
394	A0A352VK05	A0A651HS17	A0A7C1VDL4
395	A0A2E4C0C0	A0A651HS17	A0A7C1VDL4
396	A0A2E9WZE6	A0A651HS17	A0A7C1VDL4
397	A0A2D9A7F3	A0A651HS17	A0A7C1VDL4
398	A0A350Q770	A0A651HS17	A0A7C1VDL4
399	A0A2E1WUE3	A0A651HS17	A0A7C1VDL4
400	A0A2E4I0R0	A0A651HS17	A0A7C1VDL4
401	A0A2E5UPB6	A0A651HS17	A0A7C1VDL4
402	A0A6I3HRW9	A0A6I3HRW9	A0A7V8YNA9
403	A0A7K0Q888	A0A6I3HRW9	A0A7V8YNA9
405	A0A917DMU4	A0A917DMU4	
406	A0A939PYP0	A0A0K2SGN6	A0A7V8YNA9
407	A0A0K2SGN6	A0A0K2SGN6	A0A7V8YNA9
408	A0A960HU45	A0A960HU45	
409	D7V161	D7V161	A0A0R1WC41
411	Q0RSB5	Q0RSB5	A0A2P2BVU5
412	A0A2I2KR89	Q0RSB5	A0A2P2BVU5
413	A0A0Q0XR25	Q0RSB5	A0A2P2BVU5
414	UPI00200D8F68	Q0RSB5	A0A2P2BVU5
415	UPI0022286CA4	Q0RSB5	A0A2P2BVU5
416	A0A1S1QU98	Q0RSB5	A0A2P2BVU5
417	A0A1S1QUL4	Q0RSB5	A0A2P2BVU5
418	R7FKL9	R7FKL9	A0A2V3VWI7
419	R7M8Y4	R7FKL9	A0A2V3VWI7
420	R7GEW8	R7FKL9	A0A2V3VWI7
422	UPI0009F704CF	UPI0009F704CF	
423	UPI000C06A2E9	UPI000C06A2E9	
424	UPI000419DC91	UPI000419DC91	
425	UPI001E367A30	UPI001E367A30	
426	UPI0018AB3883	UPI0018AB3883	
427	UPI001C8C8D12	UPI001C8C8D12	
428	A0A943CXA6	A0A943CXA6	
429	UPI00083428D6	UPI00083428D6	
430	UPI0018AC72AD	UPI0018AC72AD	
431	C2EVD4	C2EVD4	A0A377FWM0
432	F8DMZ3	C2EVD4	A0A377FWM0
433	A0A0R1WLL6	C2EVD4	A0A377FWM0
434	C8P6B9	C2EVD4	A0A377FWM0
435	C7XVU6	C2EVD4	A0A377FWM0
436	A0A0R2B2W7	C2EVD4	A0A377FWM0
437	A0A1I3C4G9	C2EVD4	A0A377FWM0
438	A0A2R7ZYN6	C2EVD4	A0A377FWM0
439	A0A0B2XNT6	C2EVD4	A0A377FWM0
440	A0A0R1RPC2	C2EVD4	A0A377FWM0
441	A0A2N9DX83	C2EVD4	A0A377FWM0
442	A0A1X7QKI0	C2EVD4	A0A377FWM0
443	A0A0R2BH38	C2EVD4	A0A377FWM0
444	C5RAL1	C5RAL1	A0A377FWM0
445	G6FFH3	C5RAL1	A0A377FWM0
448	E4KQG4	E4KQG4	E4KQG4
449	G5JV69	G5JV69	A0A377FWM0
450	G9Z121	G9Z121	A0A377FWM0
451	I6CAN7	G9Z121	A0A377FWM0
452	S3JII5	G9Z121	A0A377FWM0
453	C0AR20	G9Z121	A0A377FWM0
454	L0EC70	L0EC70	A0A371PLL5
455	Q8FRG1	Q8FRG1	A0A1F1KUJ3
456	A0A0M4CWP8	Q8FRG1	A0A1F1KUJ3
457	A0A8G0FWG7	Q8FRG1	A0A1F1KUJ3
458	A0A1Q3DNK4	Q8FRG1	A0A1F1KUJ3
459	A4QCB9	Q8FRG1	A0A1F1KUJ3
460	A0A160PS49	Q8FRG1	A0A1F1KUJ3
461	M1TP97	Q8FRG1	A0A1F1KUJ3
462	A0A1R4G8N8	Q8FRG1	A0A1F1KUJ3
463	A0A6B8W5S3	Q8FRG1	A0A1F1KUJ3
465	UPI000486D7D8	UPI000486D7D8	
466	UPI0004F82C17	UPI0004F82C17	
467	UPI000A198319	UPI000A198319	
468	UPI000A4282A8	UPI000A4282A8	
469	UPI0021A555FF	UPI0021A555FF	
470	UPI001BAF9F81	UPI001BAF9F81	
471	W1J3N6	W1J3N6	W1J3N6
473	A0A031IDF1	A0A031IDF1	A0A031IDF1
474	K0AE95	A0A031IDF1	A0A031IDF1
475	B1YM38	A0A031IDF1	A0A031IDF1
476	A0A081B7H9	A0A081B7H9	A0A5P3IEM7
477	A0A833MZF4	A0A081B7H9	A0A5P3IEM7
478	A0A4Y1MZD9	A0A081B7H9	A0A5P3IEM7
479	K2IYR0	A0A081B7H9	A0A5P3IEM7
480	W6I2P2	A0A081B7H9	A0A5P3IEM7
481	A0A1L3RBV3	A0A081B7H9	A0A5P3IEM7
482	A0A1L3RIU6	A0A081B7H9	A0A5P3IEM7
483	Q0BSP6	A0A081B7H9	A0A5P3IEM7
484	A0A098EI56	A0A098EI56	A0A059NWW2
485	A0A0C7P3D9	A0A0C7P3D9	A0A7Y5B4C8
486	UPI00192A8C0E	A0A0C7P3D9	A0A7Y5B4C8
487	UPI000DD60766	A0A0C7P3D9	A0A7Y5B4C8
488	A0A0R1YU75	A0A0R1YU75	A0A0E4BGH5
489	G9ZQ84	A0A0R1YU75	A0A0E4BGH5
490	H1LL14	A0A0R1YU75	A0A0E4BGH5
491	A0A0S7CQ67	A0A0S7CQ67	A0A2P2BVU5
492	A0A174CTT5	A0A174CTT5	R6JF01
493	E4MAK8	A0A174CTT5	R6JF01
494	E4ME91	A0A174CTT5	R6JF01
495	A0A174P1K1	A0A174P1K1	A0A174P1K1
496	A0A174UMA4	A0A174P1K1	A0A174P1K1
497	A0A1B1PZD2	A0A1B1PZD2	A0A2P2BVU5
498	A0A1C5M470	A0A1C5M470	J7CVT0
499	A0A1C6H8R9	A0A1C6H8R9	A0A1C6H8R9
500	A0A1C5VQ18	A0A1C6H8R9	A0A1C6H8R9
501	A0A1G6ZFL0	A0A1G6ZFL0	B0M9G9
502	A0A1G9TVV3	A0A1G9TVV3	A0A379AHB8
504	A0A1M5CQB9	A0A1M5CQB9	A0A1I0Q8Z1
505	A0A1Q3ZLG0	A0A1Q3ZLG0	A0A7C1VDL4
506	A0A1S1V740	A0A1S1V740	A0A1M6GBW1
