	unclustered	mmseqs_cluster	foldseek_cluster
278	A0A1T5DFJ5	A0A1T5DFJ5	A0A1K1XJB1
279	A0A1V4WBC0	A0A1V4WBC0	A0A1V4WBC0
280	A0A1V5I600	A0A1V5I600	A0A1V5W530
281	A0A1V5W5I8	A0A1V5I600	A0A1V5W530
282	A0A1V5LD33	A0A1V5LD33	A0A4R6WL96
283	A0A1V5PP03	A0A1V5PP03	A0A2K4ZCZ0
284	A0A1V5T884	A0A1V5T884	A0A285NHK7
285	A0A1V5WHZ4	A0A1V5T884	A0A285NHK7
286	A0A1V5W8N0	A0A1V5W8N0	A0A1M7RYE3
287	A0A1V6A5P0	A0A1V6A5P0	A0A259UXB3
288	A0A1W6UBV8	A0A1W6UBV8	A0A1K1XJB1
289	UPI0003A09FEE	A0A1W6UBV8	A0A1K1XJB1
290	A0A4R2G1Q4	A0A1W6UBV8	A0A1K1XJB1
291	A0A1C3JKE4	A0A1W6UBV8	A0A1K1XJB1
292	A0A8B3WI60	A0A1W6UBV8	A0A1K1XJB1
293	A0A1W6VJ83	A0A1W6UBV8	A0A1K1XJB1
294	UPI0003A202B7	A0A1W6UBV8	A0A1K1XJB1
295	A0A240ELA6	A0A1W6UBV8	A0A1K1XJB1
296	A0A7Y4BY51	A0A1W6UBV8	A0A1K1XJB1
297	A0A128EWJ5	A0A1W6UBV8	A0A1K1XJB1
298	A0A1H5S590	A0A1W6UBV8	A0A1K1XJB1
299	UPI0005EF8EF7	A0A1W6UBV8	A0A1K1XJB1
300	UPI0018F136A4	A0A1W6UBV8	A0A1K1XJB1
301	UPI0018F26512	A0A1W6UBV8	A0A1K1XJB1
302	A0A5P9BFJ0	A0A1W6UBV8	A0A1K1XJB1
303	UPI000CE4019E	A0A1W6UBV8	A0A1K1XJB1
304	A0A8X8P9V8	A0A1W6UBV8	A0A1K1XJB1
305	UPI0010458B8F	A0A1W6UBV8	A0A1K1XJB1
306	A0A4R2F6M6	A0A1W6UBV8	A0A1K1XJB1
307	UPI00039B3A93	A0A1W6UBV8	A0A1K1XJB1
308	UPI00163EADFF	A0A1W6UBV8	A0A1K1XJB1
309	A0A6B8NDX6	A0A1W6UBV8	A0A1K1XJB1
310	A0A1C3IIG0	A0A1W6UBV8	A0A1K1XJB1
311	A0A2S7W436	A0A1W6UBV8	A0A1K1XJB1
312	UPI0005856346	A0A1W6UBV8	A0A1K1XJB1
313	UPI001F025347	A0A1W6UBV8	A0A1K1XJB1
314	A0A2G4AVB5	A0A1W6UBV8	A0A1K1XJB1
315	A0A1X7AKA7	A0A1X7AKA7	A0A1I1ZHQ3
316	A0A1Y0HPT4	A0A1Y0HPT4	A0A4V2PSG7
317	A0A1W1WRY5	A0A1Y0HPT4	A0A4V2PSG7
318	A0A1I5TH94	A0A1Y0HPT4	A0A4V2PSG7
319	A0A239PZZ2	A0A239PZZ2	A0A1V5RAV3
320	A0A285NHK7	A0A285NHK7	A0A285NHK7
321	A0A4R1G602	A0A285NHK7	A0A285NHK7
322	A0A2H5YEZ4	A0A2H5YEZ4	A0A1M7RYE3
323	A0A2N0FUB0	A0A2N0FUB0	A0A4V2PSG7
324	A0A4R7CWU5	A0A2N0FUB0	A0A4V2PSG7
325	A0A1M6ATV1	A0A2N0FUB0	A0A4V2PSG7
326	A0A1I6HKQ2	A0A2N0FUB0	A0A4V2PSG7
327	A0A221UT70	A0A2N0FUB0	A0A4V2PSG7
328	A0A327RCE2	A0A2N0FUB0	A0A4V2PSG7
329	A0A1G7F5H4	A0A2N0FUB0	A0A4V2PSG7
330	A0A559NR95	A0A2N0FUB0	A0A4V2PSG7
331	A0A4R6TSE4	A0A2N0FUB0	A0A4V2PSG7
332	A0A1M6JRW2	A0A2N0FUB0	A0A4V2PSG7
333	A0A1G7H6J3	A0A2N0FUB0	A0A4V2PSG7
334	A0A1M4V0B2	A0A2N0FUB0	A0A4V2PSG7
335	A0A1M6KXY5	A0A2N0FUB0	A0A4V2PSG7
336	A0A1T5ABM7	A0A2N0FUB0	A0A4V2PSG7
337	A0A420DWH3	A0A2N0FUB0	A0A4V2PSG7
338	A0A846QYE9	A0A2N0FUB0	A0A4V2PSG7
339	A0A4R7JY26	A0A2N0FUB0	A0A4V2PSG7
340	A0A1G9LX48	A0A2N0FUB0	A0A4V2PSG7
341	A0A1M6D5K4	A0A2N0FUB0	A0A4V2PSG7
342	A0A1G6F2Z2	A0A2N0FUB0	A0A4V2PSG7
343	A0A1N6NZT7	A0A2N0FUB0	A0A4V2PSG7
344	A0A1H7KZL9	A0A2N0FUB0	A0A4V2PSG7
345	A0A1I4Z1Y4	A0A2N0FUB0	A0A4V2PSG7
346	A0A1H4KEJ2	A0A2N0FUB0	A0A4V2PSG7
347	A0A316DSD2	A0A2N0FUB0	A0A4V2PSG7
348	A0A1M6FLZ8	A0A2N0FUB0	A0A4V2PSG7
349	A0A1W1Z3L1	A0A2N0FUB0	A0A4V2PSG7
350	A0A2I9E402	A0A2N0FUB0	A0A4V2PSG7
351	A0A495EEC9	A0A2N0FUB0	A0A4V2PSG7
352	A0A1X7JVU8	A0A2N0FUB0	A0A4V2PSG7
353	A0A318J0N8	A0A2N0FUB0	A0A4V2PSG7
354	A0A316E6R7	A0A2N0FUB0	A0A4V2PSG7
355	A0A4R2P0C2	A0A2N0FUB0	A0A4V2PSG7
356	A0A497Z8V6	A0A2N0FUB0	A0A4V2PSG7
357	A0A1H4T486	A0A2N0FUB0	A0A4V2PSG7
358	A0A420E5C5	A0A2N0FUB0	A0A4V2PSG7
359	A0A3E0ICQ3	A0A2N0FUB0	A0A4V2PSG7
360	A0A1M5DH72	A0A2N0FUB0	A0A4V2PSG7
361	A0A1M6B136	A0A2N0FUB0	A0A4V2PSG7
362	A0A397LD60	A0A2N0FUB0	A0A4V2PSG7
363	A0A1H1R303	A0A2N0FUB0	A0A4V2PSG7
364	A0A3D9HLX9	A0A2N0FUB0	A0A4V2PSG7
365	A0A8T9E5E9	A0A2N0FUB0	A0A4V2PSG7
366	A0A385BMY1	A0A2N0FUB0	A0A4V2PSG7
367	A0A4R1RR63	A0A2N0FUB0	A0A4V2PSG7
368	A0A368ZJ54	A0A2N0FUB0	A0A4V2PSG7
369	A0A1K2IBV9	A0A2N0FUB0	A0A4V2PSG7
370	A0A362X8K4	A0A2N0FUB0	A0A4V2PSG7
371	A0A2V4WZI9	A0A2N0FUB0	A0A4V2PSG7
372	A0A1H9BPT7	A0A2N0FUB0	A0A4V2PSG7
373	A0A1I1ND23	A0A2N0FUB0	A0A4V2PSG7
374	A0A2T0MGH5	A0A2N0FUB0	A0A4V2PSG7
375	A0A1M6PTL7	A0A2N0FUB0	A0A4V2PSG7
376	A0A853D5A3	A0A2N0FUB0	A0A4V2PSG7
377	A0A285MFM8	A0A2N0FUB0	A0A4V2PSG7
378	A0A1M5KMA6	A0A2N0FUB0	A0A4V2PSG7
379	A0A4R6THV3	A0A2N0FUB0	A0A4V2PSG7
380	A0A1K1P1R4	A0A2N0FUB0	A0A4V2PSG7
381	A0A1H5FRS6	A0A2N0FUB0	A0A4V2PSG7
382	A0A1H1SE44	A0A2N0FUB0	A0A4V2PSG7
383	A0A1H2H528	A0A2N0FUB0	A0A4V2PSG7
384	A0A1M7MBH4	A0A2N0FUB0	A0A4V2PSG7
385	A0A559RE13	A0A2N0FUB0	A0A4V2PSG7
386	A0A327RE55	A0A2N0FUB0	A0A4V2PSG7
387	A0A1I3J0Q9	A0A2N0FUB0	A0A4V2PSG7
388	A0A559RQK3	A0A2N0FUB0	A0A4V2PSG7
389	A0A2N3T1Z8	A0A2N0FUB0	A0A4V2PSG7
390	A0A5S5CCG4	A0A2N0FUB0	A0A4V2PSG7
391	A0A4Q7PGZ8	A0A2N0FUB0	A0A4V2PSG7
392	A0A1H7KGK6	A0A2N0FUB0	A0A4V2PSG7
393	A0A238W222	A0A2N0FUB0	A0A4V2PSG7
394	A0A5S5DUS6	A0A2N0FUB0	A0A4V2PSG7
395	A0A1H2V6U8	A0A2N0FUB0	A0A4V2PSG7
396	A0A1H1M332	A0A2N0FUB0	A0A4V2PSG7
397	A0A1I6G6K1	A0A2N0FUB0	A0A4V2PSG7
398	A0A238X6K6	A0A2N0FUB0	A0A4V2PSG7
399	A0A3D9S059	A0A2N0FUB0	A0A4V2PSG7
400	A0A1M5SYA5	A0A2N0FUB0	A0A4V2PSG7
401	A0A3L9YYW3	A0A2N0FUB0	A0A4V2PSG7
402	A0A1G7CZC3	A0A2N0FUB0	A0A4V2PSG7
403	A0A330MI14	A0A2N0FUB0	A0A4V2PSG7
404	A0A2N0ERS8	A0A2N0FUB0	A0A4V2PSG7
405	A0A370QK45	A0A2N0FUB0	A0A4V2PSG7
406	A0A1K1PZT6	A0A2N0FUB0	A0A4V2PSG7
407	A0A4Q0NZA0	A0A2N0FUB0	A0A4V2PSG7
408	A0A1M5W981	A0A2N0FUB0	A0A4V2PSG7
409	A0A4Q0P8I6	A0A2N0FUB0	A0A4V2PSG7
410	A0A4Q0PR95	A0A2N0FUB0	A0A4V2PSG7
411	A0A238XDZ2	A0A2N0FUB0	A0A4V2PSG7
412	A0A1I6QAK8	A0A2N0FUB0	A0A4V2PSG7
413	A0A1H3G4H1	A0A2N0FUB0	A0A4V2PSG7
414	A0A3D9N4C2	A0A2N0FUB0	A0A4V2PSG7
415	A0A3D9HAT6	A0A2N0FUB0	A0A4V2PSG7
