	ld_carboxypeptidases_unclustered	ld_carboxypeptidases_mmseqs_cluster	ld_carboxypeptidases_foldseek_cluster
288	UPI000A801ABE	A0A8J3EKZ4	
289	A0A2T7YRH7	A0A8J3EKZ4	
290	UPI00028C8201	A0A8J3EKZ4	
291	A0A8J6Y530	A0A8J6Y530	
292	A0A8J9XLF8	A0A8J9XLF8	
293	UPI001F55B4F7	UPI001F55B4F7	
294	UPI000374138B	UPI001F55B4F7	
295	UPI001C4D2950	UPI001F55B4F7	
296	UPI000788FF27	UPI001F55B4F7	
297	UPI00200532F6	UPI00200532F6	
298	A0A3D3KCN0	UPI00200532F6	
299	UPI0011A5F5A6	UPI00200532F6	
300	A0A972KLB4	UPI00200532F6	
301	A0A6P1KAK6	UPI00200532F6	
302	UPI00191A8267	UPI00200532F6	
303	A0A2I1RIU4	UPI00200532F6	
304	UPI001C5AB8F1	UPI00200532F6	
305	UPI001C5AD554	UPI00200532F6	
306	UPI001EFBB7E9	UPI00200532F6	
307	UPI0019337108	UPI00200532F6	
308	A0A2D2E6P9	UPI00200532F6	
309	A0A2D2LTQ8	UPI00200532F6	
310	A0A2K8K086	UPI00200532F6	
311	UPI001CC78B0F	UPI00200532F6	
312	A0A4R9RNT6	UPI00200532F6	
313	UPI002003FD39	UPI00200532F6	
314	UPI00194FD4BB	UPI00200532F6	
315	UPI001C5BC8E1	UPI00200532F6	
316	UPI002079D6BC	UPI002079D6BC	
317	UPI0018CD885B	UPI002079D6BC	
318	A0A2B9B0V3	UPI002079D6BC	
319	UPI000BF6E271	UPI002079D6BC	
320	UPI0003685C20	UPI002079D6BC	
321	UPI0010BE4AA3	UPI0010BE4AA3	
322	UPI0011094F26	UPI0011094F26	
323	S6HSQ2	UPI0011094F26	
324	UPI000A728C07	UPI0011094F26	
325	A0A954Y3U1	A0A954Y3U1	
326	A0A956Z5M0	A0A956Z5M0	
327	A0A958KZV2	A0A958KZV2	
328	A0A959Z9W0	A0A959Z9W0	
329	K0ABD0	K0ABD0	K0ABD0
330	UPI001BEC1B5F	K0ABD0	K0ABD0
331	UPI0006865CD6	K0ABD0	K0ABD0
332	UPI0006820677	K0ABD0	K0ABD0
333	UPI0006865DA7	K0ABD0	K0ABD0
334	UPI0006866127	K0ABD0	K0ABD0
335	UPI001BE745AB	K0ABD0	K0ABD0
336	UPI001BEA5F1A	K0ABD0	K0ABD0
337	UPI001BEC499A	K0ABD0	K0ABD0
338	UPI001BEC5FA2	K0ABD0	K0ABD0
339	UPI00040C066C	K0ABD0	K0ABD0
340	UPI000A027765	K0ABD0	K0ABD0
341	UPI001BEAD85E	K0ABD0	K0ABD0
342	UPI0006AA15CD	K0ABD0	K0ABD0
343	UPI0009DCB329	K0ABD0	K0ABD0
344	UPI0009F9CC1E	K0ABD0	K0ABD0
345	UPI001BEAFC5F	K0ABD0	K0ABD0
346	UPI001BEC945D	K0ABD0	K0ABD0
347	UPI0011EFB44B	K0ABD0	K0ABD0
348	UPI0018A7ACEF	K0ABD0	K0ABD0
349	UPI001BE50CF3	K0ABD0	K0ABD0
350	UPI001BE98981	K0ABD0	K0ABD0
351	UPI001BECC3DC	K0ABD0	K0ABD0
352	UPI000736E711	K0ABD0	K0ABD0
353	UPI001BE7BCB3	K0ABD0	K0ABD0
354	UPI002036F8CD	K0ABD0	K0ABD0
355	UPI001BE9D480	K0ABD0	K0ABD0
356	UPI001BEB89EF	K0ABD0	K0ABD0
357	UPI00068BD253	K0ABD0	K0ABD0
358	UPI0006F209ED	K0ABD0	K0ABD0
359	UPI00210B54CF	K0ABD0	K0ABD0
360	UPI001BE9D837	K0ABD0	K0ABD0
361	UPI001BECF9FA	K0ABD0	K0ABD0
362	B1YE85	K0ABD0	K0ABD0
363	UPI001575A55E	K0ABD0	K0ABD0
364	UPI001BE8327E	K0ABD0	K0ABD0
365	UPI001BE9FDF2	K0ABD0	K0ABD0
366	UPI001BED19C5	K0ABD0	K0ABD0
367	UPI0006F65752	K0ABD0	K0ABD0
368	UPI001BE6D030	K0ABD0	K0ABD0
369	UPI001CA6A199	K0ABD0	K0ABD0
370	UPI0003C3F878	K0ABD0	K0ABD0
371	UPI001FFECD1D	K0ABD0	K0ABD0
372	UPI0009F4BC80	K0ABD0	K0ABD0
373	UPI001BE56048	K0ABD0	K0ABD0
374	UPI000DF73DB9	K0ABD0	K0ABD0
375	Q10VX0	Q10VX0	A0A7V4IX61
376	UPI0019062B40	UPI0019062B40	
377	UPI00168637A1	UPI0019062B40	
378	UPI00164A88DC	UPI0019062B40	
379	UPI00164ACBF9	UPI0019062B40	
380	A0A0Q8R3J9	UPI0019062B40	
381	UPI001B841241	UPI0019062B40	
382	UPI00164C3BDB	UPI0019062B40	
383	UPI00164AF22A	UPI0019062B40	
384	UPI0016768B6F	UPI0019062B40	
385	A0A941I9P1	UPI0019062B40	
386	UPI001E61C085	UPI0019062B40	
387	A0A931LXM3	UPI0019062B40	
388	UPI00164AC069	UPI0019062B40	
389	UPI001F4CC96A	UPI0019062B40	
390	UPI0021D27112	UPI0019062B40	
391	A0A0Q6W4P1	UPI0019062B40	
392	A0A0Q7VSZ5	UPI0019062B40	
393	UPI001EDC3E48	UPI0019062B40	
394	UPI0022AAF754	UPI0019062B40	
395	UPI001E2E5AAD	UPI0019062B40	
396	A0A0Q7FYF2	UPI0019062B40	
397	UPI00136EC554	UPI0019062B40	
398	UPI0014522707	UPI0019062B40	
399	UPI001AE779E3	UPI0019062B40	
400	A0A127QL62	UPI0019062B40	
401	A0A923KMV3	UPI0019062B40	
402	A0A127P9T6	UPI0019062B40	
403	A0A127Q7B4	UPI0019062B40	
404	A0A127R086	UPI0019062B40	
405	UPI00216158C9	UPI0019062B40	
406	UPI000B07B700	UPI0019062B40	
407	A0A1S2NHI0	UPI0019062B40	
408	A0A0Q6S5B7	UPI0019062B40	
409	A0A0Q5IAD9	UPI0019062B40	
410	A0A254TLG5	UPI0019062B40	
411	A0A0Q8R056	UPI0019062B40	
412	UPI00192ECDF7	UPI0019062B40	
413	A0A850QJX4	UPI0019062B40	
414	A0A923KZ42	UPI0019062B40	
415	UPI001E5A73AC	UPI0019062B40	
416	UPI001E4E2FAE	UPI0019062B40	
417	A0A923HAD5	UPI0019062B40	
418	A4G4W9	UPI0019062B40	
419	A0A0Q4NNN3	UPI0019062B40	
420	A0A0Q5CJX4	UPI0019062B40	
421	A0A941E079	UPI0019062B40	
422	UPI00164A462C	UPI0019062B40	
423	UPI00164A28C1	UPI0019062B40	
424	UPI00164B4AA1	UPI0019062B40	
425	A0A932S176	UPI0019062B40	
426	A0A941DC22	UPI0019062B40	
427	UPI00167C1235	UPI0019062B40	
428	UPI00196873F4	UPI00196873F4	
429	A0A2H0YRD7	UPI00196873F4	
430	UPI001980C333	UPI001980C333	
431	UPI0011AFB7C5	UPI0011AFB7C5	
432	UPI00187F0C0C	UPI0011AFB7C5	
433	A0A978T813	UPI0011AFB7C5	
434	A0A978TD04	UPI0011AFB7C5	
435	UPI0021E9AC06	UPI0011AFB7C5	
436	UPI0018807612	UPI0011AFB7C5	
437	A0A370GDF8	A0A370GDF8	
438	A0A379B1B0	A0A379B1B0	A0A379B1B0
439	A0A381H204	A0A381H204	A0A381H204
440	A0A3S4J5U9	A0A381H204	A0A381H204
441	UPI00188C0FD8	A0A381H204	A0A381H204
442	A0A379URS2	A0A381H204	A0A381H204
443	A0A3D2KZR7	A0A3D2KZR7	A0A3D2KZR7
444	A0A3N2LWY9	A0A3N2LWY9	A0A7C1D5R2
445	A0A4V5PBZ7	A0A3N2LWY9	A0A7C1D5R2
446	A0A359I9F9	A0A3N2LWY9	A0A7C1D5R2
447	A0A3N2KBW0	A0A3N2LWY9	A0A7C1D5R2
448	A0A3N2NPX1	A0A3N2LWY9	A0A7C1D5R2
449	UPI00195A8B74	A0A3N2LWY9	A0A7C1D5R2
450	A0A352HR37	A0A3N2LWY9	A0A7C1D5R2
451	A0A4P6UMJ3	A0A4P6UMJ3	A0A0F3RGB6
452	A0A4Q6AZ47	A0A4Q6AZ47	A0A7C1D5R2
453	A0A4Q6B6L2	A0A4Q6AZ47	A0A7C1D5R2
454	A0A542EWQ2	A0A542EWQ2	A0A852UB62
455	A0A7Y4L268	A0A542EWQ2	A0A852UB62
456	A0A3Q8SN33	A0A3Q8SN33	A0A3Q8SN33
457	A0A3R6SGH9	A0A3R6SGH9	A0A7C0UC19
458	R7K3X8	A0A3R6SGH9	A0A7C0UC19
459	A0A373NFM6	A0A3R6SGH9	A0A7C0UC19
460	UPI00156FF860	A0A3R6SGH9	A0A7C0UC19
461	UPI002108FA06	A0A3R6SGH9	A0A7C0UC19
462	UPI001897FAF3	A0A3R6SGH9	A0A7C0UC19
463	UPI001D014DC4	A0A3R6SGH9	A0A7C0UC19
464	UPI0018A0EE54	A0A3R6SGH9	A0A7C0UC19
465	UPI0018AB01F4	A0A3R6SGH9	A0A7C0UC19
466	UPI001D01F866	A0A3R6SGH9	A0A7C0UC19
467	A0A417CPH8	A0A3R6SGH9	A0A7C0UC19
468	UPI000ABC3516	A0A3R6SGH9	A0A7C0UC19
469	UPI001FBBEA3E	A0A3R6SGH9	A0A7C0UC19
470	UPI001D07B671	A0A3R6SGH9	A0A7C0UC19
471	A0A8I0DSR1	A0A3R6SGH9	A0A7C0UC19
472	UPI001D0833C8	A0A3R6SGH9	A0A7C0UC19
473	UPI001899C45D	A0A3R6SGH9	A0A7C0UC19
474	UPI001FAD75E6	A0A3R6SGH9	A0A7C0UC19
