mmseqs_cluster	unclustered
DL-endopeptidase_UniRef100_C3JB20|747|g__Porphyromonas.s__Porphyromonas_species	DL-endopeptidase_UniRef100_C3JB20|747|g__Porphyromonas.s__Porphyromonas_species
DL-endopeptidase_UniRef100_A0A0V8JNZ3|1056|g__Priestia.s__Priestia_species	DL-endopeptidase_UniRef100_A0A0V8JNZ3|1056|g__Priestia.s__Priestia_species
DL-endopeptidase_UniRef100_A0A0V8JNZ3|1056|g__Priestia.s__Priestia_species	DL-endopeptidase_UniRef100_A0A0L1LSW1|1053|g__Priestia.s__Priestia_species
DL-endopeptidase_UniRef100_A0A0V8JNZ3|1056|g__Priestia.s__Priestia_species	DL-endopeptidase_UniRef100_A0A1X7FT98|1038|g__Priestia.s__Priestia_species
DL-endopeptidase_UniRef100_A0A2S5D4Q5|897|g__Lysinibacillus.s__Lysinibacillus_species	DL-endopeptidase_UniRef100_A0A2S5D4Q5|897|g__Lysinibacillus.s__Lysinibacillus_species
DL-endopeptidase_UniRef100_A0A4Y7RJ07|1092|g__Eubacteriales.s__Eubacteriales_species	DL-endopeptidase_UniRef100_A0A4Y7RJ07|1092|g__Eubacteriales.s__Eubacteriales_species
DL-endopeptidase_UniRef100_A0A6N3A346|411|g__Veillonella.s__Veillonella_species	DL-endopeptidase_UniRef100_A0A6N3A346|411|g__Veillonella.s__Veillonella_species
DL-endopeptidase_UniRef100_A0A2R3JMM1|900|g__Lactobacillus.s__Lactobacillus_species	DL-endopeptidase_UniRef100_A0A2R3JMM1|900|g__Lactobacillus.s__Lactobacillus_species
DL-endopeptidase_UniRef100_A0A2R3JMM1|900|g__Lactobacillus.s__Lactobacillus_species	DL-endopeptidase_UniRef100_A0A2I0YSV2|891|g__Lactiplantibacillus.s__Lactiplantibacillus_species
DL-endopeptidase_UniRef100_A0A2R3JMM1|900|g__Lactobacillus.s__Lactobacillus_species	DL-endopeptidase_UniRef100_A0A2R3JVC2|900|g__Lactobacillus.s__Lactobacillus_species
DL-endopeptidase_UniRef100_A0A2R3JMM1|900|g__Lactobacillus.s__Lactobacillus_species	DL-endopeptidase_UniRef100_A0A837NGG0|891|g__Lactiplantibacillus.s__Lactiplantibacillus_species
DL-endopeptidase_UniRef100_A0A2R3JMM1|900|g__Lactobacillus.s__Lactobacillus_species	DL-endopeptidase_UniRef100_A0A199QLE6|891|g__Lactiplantibacillus.s__Lactiplantibacillus_species
DL-endopeptidase_UniRef100_A0A2R3JMM1|900|g__Lactobacillus.s__Lactobacillus_species	DL-endopeptidase_UniRef100_A0A660E9L2|900|g__Lactiplantibacillus.s__Lactiplantibacillus_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_R5ATJ0|1071|g__Firmicutes.s__Firmicutes_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_A0A928MHN6|915|g__Oscillospiraceae.s__Oscillospiraceae_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_R6N2Q7|348|g__Eubacteriales.s__Eubacteriales_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_A0A3C1BWY3|1002|g__Clostridiales.s__Clostridiales_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_R5ES93|987|g__Firmicutes.s__Firmicutes_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_A0A928LUX6|915|g__Oscillospiraceae.s__Oscillospiraceae_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_A0A354USI9|945|g__Clostridiales.s__Clostridiales_species
DL-endopeptidase_UniRef100_A0A3D1V9H0|1278|g__Clostridiales.s__Clostridiales_species	DL-endopeptidase_UniRef100_A0A3D2HXQ8|1002|g__Clostridiales.s__Clostridiales_species
DL-endopeptidase_UniRef100_A0A117EBF4|1254|g__Streptomyces.s__Streptomyces_species	DL-endopeptidase_UniRef100_A0A117EBF4|1254|g__Streptomyces.s__Streptomyces_species
DL-endopeptidase_UniRef100_A0A117EBF4|1254|g__Streptomyces.s__Streptomyces_species	DL-endopeptidase_UniRef100_A0A2S6XDR4|600|g__Streptomyces.s__Streptomyces_species
DL-endopeptidase_UniRef100_A0A117EBF4|1254|g__Streptomyces.s__Streptomyces_species	DL-endopeptidase_UniRef100_A0A3N6H9U2|1143|g__Streptomyces.s__Streptomyces_species
DL-endopeptidase_UniRef100_A0A117EBF4|1254|g__Streptomyces.s__Streptomyces_species	DL-endopeptidase_UniRef100_A0A3N6HDX8|1143|g__Streptomyces.s__Streptomyces_species
DL-endopeptidase_UniRef100_A0A117EBF4|1254|g__Streptomyces.s__Streptomyces_species	DL-endopeptidase_UniRef100_A0A6C0QBM0|1143|g__Streptomyces.s__Streptomyces_species
DL-endopeptidase_UniRef100_A0A1C5PVP3|1026|g__uncultured.s__uncultured_species	DL-endopeptidase_UniRef100_A0A1C5PVP3|1026|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A1M4NB46|1134|g__Clostridium.s__Clostridium_species	DL-endopeptidase_UniRef100_A0A1M4NB46|1134|g__Clostridium.s__Clostridium_species
DL-endopeptidase_UniRef100_A0A1M4NB46|1134|g__Clostridium.s__Clostridium_species	DL-endopeptidase_UniRef100_A0A161XDA1|909|g__Clostridium.s__Clostridium_species
DL-endopeptidase_UniRef100_A0A1V5N1S3|783|g__Bacteroidetes.s__Bacteroidetes_species	DL-endopeptidase_UniRef100_A0A1V5N1S3|783|g__Bacteroidetes.s__Bacteroidetes_species
DL-endopeptidase_UniRef100_A0A1Y2MSQ6|1026|g__Pseudonocardia.s__Pseudonocardia_species	DL-endopeptidase_UniRef100_A0A1Y2MSQ6|1026|g__Pseudonocardia.s__Pseudonocardia_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A919X596|921|g__Oceanobacillus.s__Oceanobacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A0B6AKY9|909|g__Priestia.s__Priestia_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A806TEH3|906|g__Priestia.s__Priestia_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A917PTZ4|954|g__Lentibacillus.s__Lentibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A917EYR8|942|g__Halobacillus.s__Halobacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A024P3D8|945|g__Halobacillus.s__Halobacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A511WPP4|945|g__Halobacillus.s__Halobacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_I3E8S5|927|g__Bacillus.s__Bacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A6F8TS56|918|g__Bacillus.s__Bacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A919X8C0|942|g__Ornithinibacillus.s__Ornithinibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A024Q709|984|g__Virgibacillus.s__Virgibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A0A1MP10|933|g__Oceanobacillus.s__Oceanobacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_W9AHW1|951|g__Oceanobacillus.s__Oceanobacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A8J2ZQ15|933|g__Compostibacillus.s__Compostibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A511ZQ48|933|g__Oceanobacillus.s__Oceanobacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A917HQU1|948|g__Virgibacillus.s__Virgibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A916RQ13|945|g__Ornithinibacillus.s__Ornithinibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A8J2ZS34|906|g__Pullulanibacillus.s__Pullulanibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A8J2YCX2|900|g__Pullulanibacillus.s__Pullulanibacillus_species
DL-endopeptidase_UniRef100_A0A2K9IWA9|996|g__Virgibacillus.s__Virgibacillus_species	DL-endopeptidase_UniRef100_A0A511VC99|927|g__Aneurinibacillus.s__Aneurinibacillus_species
DL-endopeptidase_UniRef100_A0A2Z2NI95|771|g__Granulosicoccus.s__Granulosicoccus_species	DL-endopeptidase_UniRef100_A0A2Z2NI95|771|g__Granulosicoccus.s__Granulosicoccus_species
DL-endopeptidase_UniRef100_A0A5P9HLP1|405|g__Bacillus.s__Bacillus_species	DL-endopeptidase_UniRef100_A0A5P9HLP1|405|g__Bacillus.s__Bacillus_species
DL-endopeptidase_UniRef100_A0A846MCS6|1872|g__Saccharococcus.s__Saccharococcus_species	DL-endopeptidase_UniRef100_A0A846MCS6|1872|g__Saccharococcus.s__Saccharococcus_species
DL-endopeptidase_UniRef100_A0A166IG42|525|g__Rathayibacter.s__Rathayibacter_species	DL-endopeptidase_UniRef100_A0A166IG42|525|g__Rathayibacter.s__Rathayibacter_species
DL-endopeptidase_UniRef100_A0A2S9Y483|1008|g__Enhygromyxa.s__Enhygromyxa_species	DL-endopeptidase_UniRef100_A0A2S9Y483|1008|g__Enhygromyxa.s__Enhygromyxa_species
DL-endopeptidase_UniRef100_A0A5S5C913|369|g__Paenibacillus.s__Paenibacillus_species	DL-endopeptidase_UniRef100_A0A5S5C913|369|g__Paenibacillus.s__Paenibacillus_species
DL-endopeptidase_UniRef100_A0A098EI80|1053|g__Planococcus.s__Planococcus_species	DL-endopeptidase_UniRef100_A0A098EI80|1053|g__Planococcus.s__Planococcus_species
DL-endopeptidase_UniRef100_A0A098EI80|1053|g__Planococcus.s__Planococcus_species	DL-endopeptidase_UniRef100_A0A8F5H2Q7|999|g__Parageobacillus.s__Parageobacillus_species
DL-endopeptidase_UniRef100_A0A1V5LV71|915|g__bacterium.s__bacterium_species	DL-endopeptidase_UniRef100_A0A1V5LV71|915|g__bacterium.s__bacterium_species
DL-endopeptidase_UniRef100_A0A2H6A6M5|1017|g__bacterium.s__bacterium_species	DL-endopeptidase_UniRef100_A0A2H6A6M5|1017|g__bacterium.s__bacterium_species
DL-endopeptidase_UniRef100_A0A498RH43|672|g__Burkholderia.s__Burkholderia_species	DL-endopeptidase_UniRef100_A0A498RH43|672|g__Burkholderia.s__Burkholderia_species
DL-endopeptidase_UniRef100_A0A078LY73|966|g__Jeotgalicoccus.s__Jeotgalicoccus_species	DL-endopeptidase_UniRef100_A0A078LY73|966|g__Jeotgalicoccus.s__Jeotgalicoccus_species
DL-endopeptidase_UniRef100_A0A078LY73|966|g__Jeotgalicoccus.s__Jeotgalicoccus_species	DL-endopeptidase_UniRef100_A0A6V7R5V3|957|g__Jeotgalicoccus.s__Jeotgalicoccus_species
DL-endopeptidase_UniRef100_A0A078LY73|966|g__Jeotgalicoccus.s__Jeotgalicoccus_species	DL-endopeptidase_UniRef100_A0A6V7RPT7|951|g__Jeotgalicoccus.s__Jeotgalicoccus_species
DL-endopeptidase_UniRef100_A0A078LY73|966|g__Jeotgalicoccus.s__Jeotgalicoccus_species	DL-endopeptidase_UniRef100_A0A6V7RRM9|954|g__Jeotgalicoccus.s__Jeotgalicoccus_species
DL-endopeptidase_UniRef100_A0A1C5QMY6|1647|g__uncultured.s__uncultured_species	DL-endopeptidase_UniRef100_A0A1C5QMY6|1647|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A1H3RFE5|885|g__Evansella.s__Evansella_species	DL-endopeptidase_UniRef100_A0A1H3RFE5|885|g__Evansella.s__Evansella_species
DL-endopeptidase_UniRef100_A0A1V5Q709|1098|g__Chloroflexi.s__Chloroflexi_species	DL-endopeptidase_UniRef100_A0A1V5Q709|1098|g__Chloroflexi.s__Chloroflexi_species
