"","Dataset","feature","coef","stderr","pval","qval"
"3211","DRA008156","DL.endopeptidase.A0A1I3GQ51",-2.8293774583575e-07,1.66537005986139e-07,0.0898913833678333,0.469829562725364
"4111","DRA008156","DL.endopeptidase.A0A174M4B0",1.65172742555348e-06,1.03626852777478e-06,0.111525679872119,0.474998591289887
"4211","DRA008156","DL.endopeptidase.A0A1C5PVP3",-5.81160532149074e-07,3.68608143733963e-07,0.115451371653331,0.474998591289887
"4911","DRA008156","DL.endopeptidase.R5ATJ0",-3.79374570698697e-07,2.50344665277409e-07,0.130240211059945,0.497432368568301
"5511","DRA008156","DL.endopeptidase.A0A174TDS3",-2.65715270010807e-07,1.92762185562738e-07,0.168618212166439,0.527342998296103
"6511","DRA008156","DL.endopeptidase.A0A518C016",-1.88905595671024e-07,1.43308227529968e-07,0.187990167673253,0.543725408039562
"7011","DRA008156","DL.endopeptidase.R7HVK1",4.48218061923463e-08,3.62208965536304e-08,0.216442596148363,0.581302972512746
"7411","DRA008156","DL.endopeptidase.A0A174CGJ4",1.15840279564862e-07,9.96773398963594e-08,0.245674796005063,0.622973689879753
"8510","DRA008156","DL.endopeptidase.A0A1C5KNH6",1.30578288795928e-06,1.4853153457039e-06,0.379713504203552,0.740439736157998
"982","DRA008156","DL.endopeptidase.A0A6N3I5I0",-1.41352845629251e-06,1.6786428073135e-06,0.400114883043173,0.767567326654251
"1092","DRA008156","DL.endopeptidase.A0A132I0H7",2.40447482100312e-07,3.33206009022864e-07,0.470834308210823,0.804698635851224
"1122","DRA008156","DL.endopeptidase.A0A348AMN4",9.70775817019394e-07,1.38572409512114e-06,0.483875465613101,0.812219531564848
"1132","DRA008156","DL.endopeptidase.A0A1C5KMM8",-1.17680134468662e-06,1.92150888394063e-06,0.540501029388205,0.826102028873718
"1142","DRA008156","DL.endopeptidase.A0A1C5WD06",-1.2971843631635e-06,2.08094452760676e-06,0.533302846488507,0.826102028873718
"1152","DRA008156","DL.endopeptidase.A0A1V5YPB2",1.07486793772074e-07,1.69760630664244e-07,0.526886479762156,0.826102028873718
"1161","DRA008156","DL.endopeptidase.A0A564W7U7",1.81014278340627e-07,2.92235078325574e-07,0.535899262185032,0.826102028873718
"1272","DRA008156","DL.endopeptidase.A0A1C5Q6A7",-2.39996208578883e-07,4.17994923728452e-07,0.566092601408221,0.833818541840012
"1281","DRA008156","DL.endopeptidase.A0A1Y6AQ80",-5.1274874485926e-07,8.96765468822292e-07,0.567706241252774,0.833818541840012
"1352","DRA008156","DL.endopeptidase.R5N6Z6",-1.10111388460018e-07,2.30865706318239e-07,0.633586177529529,0.882327417596677
"1521","DRA008156","DL.endopeptidase.A0A6N2TU31",-1.12127474728532e-07,3.63817364404087e-07,0.758048375198644,0.926074607007623
"1531","DRA008156","DL.endopeptidase.A0A7U9SHV5",1.81980761688901e-08,5.68353065159717e-08,0.748945521319812,0.926074607007623
"1562","DRA008156","DL.endopeptidase.A0A259UPD7",2.03401826208423e-08,6.9304185908562e-08,0.769256680908284,0.927052923145881
"1601","DRA008156","DL.endopeptidase.R7C958",-1.35033397949502e-08,5.66668598201508e-08,0.811741796318086,0.948746503942242
"1742","DRA008156","DL.endopeptidase.A0A1V6BVN9",-1.37797256865743e-08,2.95033946406768e-07,0.962764760498317,0.986299526393601
